PDB_ID	compound_id	label
3A8X	447077	5.0
6BDN	9929127	5.0
6P5S	216239	5.76953
2Y7J	216239	5.0
6KZD	216239	6.22178
6P5S	3038525	5.0
4W4V	9929127	5.0
6BDN	11427553	5.99996
6P5S	11712649	5.0
4YHJ	447077	5.0
6N3O	9809715	5.69895
6N3O	9929127	5.0
6KZD	11712649	5.0
4YHJ	11234052	5.0
6BDN	9915743	5.37674
6N3O	11234052	5.0
6KZD	11427553	6.60189
3A8X	11234052	5.0
4W4V	3038525	5.0
3A8X	9809715	5.0
2CCH	3025986	7.16052
4W4V	447077	5.0
2CCH	9915743	5.0
3A99	3038525	5.0
3A99	11427553	5.0
6N3O	447077	7.58336
2Y7J	11427553	6.85356
4YHJ	3038525	5.0
3A99	216239	5.0
4W4V	9915743	5.60204
3A8X	11712649	5.0
4YHJ	9915743	5.0
4YHJ	11427553	7.14813
6KZD	447077	5.20065
3A8X	9929127	5.0
6BDN	11712649	5.0
6N3O	3038525	5.0
3A99	9915743	5.0
2CCH	447077	5.0
4W4V	11234052	5.0
2Y7J	3025986	6.33715
6N3O	11712649	5.0
2CCH	3038525	5.0
2CCH	11427553	5.0
4W4V	9809715	6.56848
6P5S	3025986	5.82388
4W4V	216239	5.0
3A8X	9915743	5.0
6N3O	11427553	6.48135
2CCH	9809715	5.85384
6BDN	11234052	5.0
2Y7J	9915743	5.0
4YHJ	9929127	5.0
4YHJ	3025986	5.0
6P5S	9809715	6.10232
4W4V	11712649	5.0
3A8X	11427553	5.0
2Y7J	11712649	5.0
2CCH	11712649	5.0
6P5S	447077	5.0
2Y7J	447077	5.0
3A99	11712649	5.0
6BDN	447077	6.40882
6KZD	3025986	5.0
3A99	9929127	5.0
2CCH	216239	5.06048
6P5S	9929127	5.0
4W4V	11427553	7.29158
6N3O	216239	5.0
6KZD	11234052	5.0
6BDN	9809715	5.0
6KZD	9809715	7.49349
4YHJ	9809715	7.767
6KZD	3038525	5.0
2Y7J	9809715	6.58486
6P5S	11234052	5.0
4YHJ	216239	5.0
6N3O	9915743	7.01728
3A99	447077	5.0
2CCH	11234052	5.0
2Y7J	9929127	5.0
2CCH	9929127	5.0
3A99	11234052	5.0
6P5S	11427553	6.52273
6KZD	9929127	5.0
2Y7J	3038525	5.0
3A8X	3038525	5.0
4W4V	3025986	5.22914
4YHJ	11712649	5.0
6KZD	9915743	5.0
6BDN	3025986	6.20754
6P5S	9915743	5.0
3A99	9809715	5.0
2Y7J	11234052	5.0
6N3O	3025986	5.0
6BDN	216239	5.56862
3A99	3025986	5.0
3A8X	3025986	5.0
3A8X	216239	5.0
6BDN	3038525	5.0
