PDB_ID	compound_id	label
6X5G	176167	5.0
3DKC	51004351	5.67776
3ENM	24779724	5.0
4KIK	10184653	5.0
3ZFM	11656518	5.0
6FYV	5328940	5.49484
2ZM3	5328940	5.0
3DKC	11656518	5.0
6YAT	16007391	5.0
1XJD	5287969	6.45581
6NCG	16007391	5.0
4ASZ	10127622	5.0
2OO8	24779724	5.0
4GU6	176167	5.0
6FYV	51004351	6.38711
2IWI	5328940	5.0
3G2F	16007391	5.0
6TGU	5328940	5.0
3BHH	176167	5.0
6RUU	24779724	5.0
4A9U	5328940	6.92046
6GQQ	16007391	6.30094
4B9D	11656518	5.0
6BG2	16007391	5.0
5UI0	16007391	5.0
3ALO	5328940	5.58501
4ZHX	10184653	5.0
5V5Y	24779724	5.0
3MY0	10127622	5.0
4ZHX	5287969	5.0
4H1J	24779724	5.0
6JUU	10127622	5.0
6BG2	24779724	5.0
5ES1	10127622	5.0
2I1M	5329102	8.58503
6FEK	24779724	5.0
1WAK	10184653	5.0
4ZZN	24779724	5.0
2A2A	51004351	6.05056
5AP1	5329102	7.19997
4UAK	5287969	5.48147
2XIK	24779724	5.0
2BUJ	24779724	5.0
5U6B	16007391	6.40882
5LWM	24779724	5.0
2BUJ	5287969	5.0
3GC8	51004351	5.0
2CMW	51004351	5.0
2REI	51004351	5.0
2REI	10127622	5.0
5V5Y	16007391	5.0
6CD6	11656518	5.0
4OR5	16007391	5.0
5YKS	10184653	5.0
4FR4	5329102	5.0
4B6L	51004351	5.0
4AF3	5328940	5.0
6D3K	5329102	6.17386
2CMW	16007391	5.0
2NRU	51004351	5.0
5MJB	5329102	6.31867
2V7O	51004351	6.85356
1XJD	51004351	6.03616
4C57	5287969	6.43168
6SM8	16007391	5.0
6ZJF	5328940	5.0
3W2P	16007391	5.0
4YNO	5328940	5.0
3SOC	51004351	5.0
2I1M	10127622	5.0
5CEQ	51004351	5.0
2REI	10184653	5.0
6JQR	16007391	6.17386
2RKU	11656518	5.0
5LWM	10184653	5.0
5HVK	11656518	5.0
7KAC	10184653	5.0
4OR5	11656518	5.0
3ENM	16007391	5.0
3KN6	16007391	5.0
6T6F	11656518	5.0
3ENM	11656518	5.0
6GRO	24779724	5.0
5NG0	51004351	5.0
4ITI	10127622	5.0
6YZ4	5287969	5.0
6BFN	24779724	5.0
5V5Y	10184653	5.0
6FYV	11656518	5.0
5JZN	10184653	5.0
3KUL	5329102	5.0
4CRS	11656518	5.0
2X4F	16007391	5.0
4UXL	11656518	5.0
3COK	51004351	7.1798
4EWH	5328940	7.53611
5J5T	16007391	5.0
5ES1	24779724	5.0
2YEX	176167	5.0
3A7I	5328940	6.4201
