PDB_ID	compound_id	label
6FIO	644241	8.92082
6FIO	153999	5.0
1U59	3081361	5.0
1U59	126565	7.79317
2JAM	176167	5.0
2JAM	151194	5.0
4LGD	16038120	6.5085
3D7U	10127622	5.0
4BGQ	11338033	8.56864
1U59	5287969	5.0
2JAM	16725726	5.0
2W5A	153999	5.0
2W5A	9884685	5.0
2W5A	5291	5.0
4LGD	10127622	5.0
6FIO	11667893	6.58486
6A32	3062316	9.24413
2W5A	11656518	5.0
6A32	3081361	6.63808
2W5A	24779724	5.0
2W5A	11617559	5.0
2JAM	11485656	5.0
3D7U	3081361	5.60204
3SXS	153999	5.0
2JAM	16038120	5.52286
3D7U	11338033	5.0
2WEL	10074640	5.0
4BGQ	176870	5.0
4LGD	10113978	5.0
1U59	3062316	5.0
2JAM	11338033	5.0
1U59	176167	5.0
3D7U	176870	5.01772
4BGQ	17755052	5.0
1U59	5329102	5.0
4BGQ	11364421	5.0
4LGD	11314340	5.2676
1U59	11314340	5.0
3D7U	24779724	5.0
2WEL	44259	9.37675
4LGD	153999	6.01768
1U59	151194	5.0
2WEL	24180719	5.0
6A32	5291	7.50724
6A32	9926791	5.0
3D7U	156414	5.21466
4LGD	44259	9.55284
2WEL	3038522	5.0
3D7U	123631	5.0
3D7U	11485656	5.0
3D7U	11409972	5.63825
3D7U	176155	5.0
3D7U	10138260	5.0
6A32	10074640	7.60033
6A32	42642645	8.33724
4BGQ	5291	5.0
4LGD	24779724	5.0
2WEL	126565	8.05061
3SXS	10184653	5.0
2JAM	11626560	5.0
2W5A	176167	5.0
4BGQ	9933475	5.0
3SXS	5287969	5.0
6FIO	16007391	5.7447
6FIO	176870	6.10232
3SXS	11656518	5.0
6FIO	5287969	5.0
4BGQ	11409972	8.17393
1U59	5328940	5.79585
4LGD	123631	5.0
2WEL	11667893	5.0
2WEL	10461815	5.53759
4LGD	156422	5.0
4BGQ	11485656	5.0
6FIO	10184653	5.0
4BGQ	11314340	6.69875
6A32	11338033	5.0
2JAM	4908365	5.2076
4LGD	11717001	5.0
1U59	176155	5.0
3D7U	51004351	5.06048
6FIO	25243800	6.13071
2WEL	17755052	5.0
3SXS	11409972	5.24412
4LGD	42642645	5.0
6A32	9884685	5.0
4LGD	644241	5.0
6FIO	11409972	9.10237
6A32	6450551	9.21467
2WEL	9933475	5.0
6A32	11314340	5.0
6FIO	17755052	5.0
4LGD	6918454	5.0
4LGD	9884685	5.0
3D7U	4908365	5.0
3D7U	10113978	5.0
4LGD	10074640	5.0
6A32	123631	5.0
4LGD	24889392	5.0
2JAM	11617559	5.0
