PDB_ID	compound_id	label
3A8X	42642645	5.0
6P5S	5494449	5.0
6N3O	16007391	5.0
3A8X	24889392	5.0
6N3O	5291	5.0
6P5S	3062316	5.0
6P5S	10427712	5.0
3A8X	17755052	5.0
4YHJ	51004351	6.95821
3A8X	4908365	5.0
4YHJ	153999	6.22907
2Y7J	44259	9.61979
6P5S	156414	5.0
6KZD	11667893	5.0
6BDN	10113978	7.34582
2CCH	51004351	5.0
2CCH	11409972	6.34669
6N3O	11364421	5.0
6P5S	16722836	5.99996
6P5S	9933475	5.0
6N3O	10074640	5.0
3A99	24889392	5.0
3A99	126565	6.69875
4W4V	5329102	5.36652
2CCH	156414	5.0
4W4V	16722836	6.69875
3A8X	11626560	5.0
3A99	151194	5.0
2CCH	16007391	5.0
2Y7J	10113978	5.0
6N3O	11626560	5.0
6N3O	11717001	5.0
6BDN	10461815	7.36552
4YHJ	10461815	6.37665
3A8X	156422	5.0
6KZD	151194	5.0
6KZD	9884685	5.0
3A99	10074640	5.88602
4YHJ	3081361	5.0
6KZD	10461815	6.03147
2Y7J	11617559	5.0
2CCH	5291	5.0
6N3O	176167	5.0
4W4V	11617559	5.0
2CCH	24180719	5.0
6P5S	176167	6.14261
4YHJ	10127622	5.0
6BDN	156414	5.0
6N3O	11409972	5.0
6P5S	17755052	6.28391
3A8X	644241	5.0
6KZD	10074640	5.0
2CCH	3038522	5.0
6BDN	126565	7.065
2Y7J	11314340	5.58501
6KZD	176167	5.0
6P5S	11667893	5.0
6KZD	123631	5.0
6N3O	3081361	5.0
4W4V	6918454	5.0
3A99	24180719	5.0
4YHJ	156414	5.0
4YHJ	9926791	5.0
3A8X	3038522	5.0
6KZD	17755052	5.0
3A99	123631	5.0
6BDN	10138260	6.5085
6BDN	11617559	5.0
2CCH	9884685	5.0
4W4V	24779724	5.72122
4W4V	3038522	5.0
4YHJ	5328940	5.3098
6P5S	5291	5.0
6BDN	24180719	5.0
6P5S	3038522	5.0
6BDN	123631	5.0
