PDB_ID	compound_id	label
5HID	6450551	5.0
4UAK	3062316	5.67776
6BXI	9933475	5.0
6TGU	3038522	5.0
2A2A	11338033	5.0
7B36	10138260	6.48135
2WTK	151194	5.0
2A2A	11364421	6.03147
6RSU	153999	6.01318
3CBL	16725726	5.0
6YAT	11626560	6.2365
2XIK	11314340	5.0
3ZFM	44259	5.67776
2BUJ	24180719	5.72122
2J0I	11626560	5.0
2XYN	16038120	6.4201
4UY9	24180719	5.0
4B6L	5291	5.0
3FXX	126565	6.79561
4K33	11338033	5.0
6BXI	10138260	6.15484
2IWI	9884685	5.0
3MDY	123631	5.0
5YKS	24180719	5.0
7KAC	156414	5.0
4WB8	9933475	5.0
5CEQ	3081361	5.0
3HNG	10074640	5.0
5LXC	42642645	5.69895
4UAK	9933475	5.0
1S9I	17755052	5.0
5J5T	11409972	6.72102
5NG0	10427712	6.30094
4OR5	11338033	8.22915
3SOC	11409972	5.0
4PF4	3081361	5.0
6TCA	10427712	5.0
6C9H	6450551	5.0
3HNG	11617559	5.0
3ENM	11364421	5.0
3KUL	151194	5.0
4CRS	3062316	5.0
7B36	24889392	5.0
6P5M	10138260	6.18039
3RNY	11717001	5.0
6Y0A	10427712	5.0
4ZZN	9884685	5.0
3IEC	11485656	5.0
4ZHX	24889392	5.0
3DKC	11667893	5.0
6GRO	24180719	5.0
4RFM	10138260	6.72102
1XJD	11364421	5.0
3W2P	16725726	5.0
2DQ7	11717001	5.0
4KS7	176870	5.0
6JPJ	176870	5.0
1O6L	3038522	5.0
2QLU	156422	5.0
5E8X	11667893	5.0
5LVO	4908365	5.40892
3BHH	3062316	5.0
6OP9	10461815	5.0
5HID	10138260	5.0
4I5P	5291	5.0
2J51	10113978	6.61961
6SRH	9933475	5.46851
4OTH	10461815	5.0
4UXL	3081361	5.0
4ITI	25243800	5.0
4MQ1	10427712	6.17386
4UY9	3062316	5.0
6X5G	123631	5.0
6P5M	176155	5.0
6CZ3	156414	5.4202
4WSQ	11667893	5.0
3MDY	17755052	5.0
6JPJ	11338033	5.0
6URC	10113978	5.0
6FEK	10138260	7.43063
5U6B	10461815	6.95821
6FYV	9933475	5.0
3FXZ	208908	5.0
3ZDU	10461815	5.0
2R4B	123631	6.38711
5QIN	10138260	5.0
1XJD	156422	5.0
4RFM	5494449	6.45581
3IEC	10427712	5.0
3IEC	42642645	5.0
4H1J	11626560	6.72102
6BFN	11338033	5.0
6BG2	10461815	5.0
2RKU	6450551	5.0
4UXL	3038522	5.0
6YAT	11617559	5.0
3DKC	9884685	5.0
3G2F	4908365	6.5085
5AP1	16722836	6.34669
3ALO	44259	7.15428
5EFQ	3062316	5.0
4JG8	11409972	5.0
2X4F	11314340	5.82388
2WTK	24889392	5.0
5H0B	44259	7.6968
1O6L	10138260	5.0
4HOK	16725726	5.0
6YKY	11364421	5.0
4RFM	16725726	5.0
3ENM	156414	5.0
4TPT	176155	5.0
3DAK	11626560	5.0
4KIK	151194	5.0
2I1M	3038522	8.30103
5JZN	644241	5.0
5UI0	9926791	5.0
5MYV	10427712	5.0
6OP9	10113978	5.0
2BUJ	11338033	5.0
3S3I	151194	5.0
5ES1	24889392	5.0
1XJD	11338033	5.0
4YNO	11617559	5.0
4UAK	208908	5.0
3ZDU	3062316	5.0
3RNY	126565	5.92078
6FEK	4908365	8.03152
5MYV	11485656	5.0
1O6L	156414	5.0
7B36	11409972	5.0
2VD5	10138260	5.0
4FR4	11626560	5.0
4D2W	151194	5.0
3A7I	11409972	5.88602
6RUU	9933475	5.0
5ORL	11667893	5.0
2REI	24180719	5.0
4PF4	156414	5.0
6GRO	42642645	5.0
4I5P	10461815	5.08092
1UA2	3081361	5.38721
3ZFM	3038522	5.0
4UXL	11409972	5.76953
6CMJ	11338033	5.61977
4IVA	156422	5.0
3G2F	5291	5.0
6B5J	5494449	5.0
2VD5	123631	5.16114
3COK	10427712	5.0
5UI0	9933475	7.45469
6YZ4	11626560	5.0
2J51	9926791	5.0
3FE3	153999	5.0
6MOB	6450551	5.37674
2WTK	153999	5.22914
2A2A	176870	5.0
4PF4	11409972	5.0
3SOC	10113978	5.0
2X4F	156422	5.0
3G2F	24180719	5.0
5E8X	11485656	5.0
6FT8	17755052	5.95857
4C57	6918454	5.0
6GZD	4908365	5.0
5UI0	123631	5.0
3COK	3062316	5.0
2BUJ	156422	5.0
5QIN	11314340	5.0
4K33	11314340	5.0
5NKG	9884685	5.0
3CBL	42642645	6.95821
4YJT	16725726	5.0
4UXL	11626560	8.37675
4MQ1	10461815	5.0
2XIK	5291	5.0
5J5T	10461815	6.30972
6BFN	42642645	5.0
6S73	208908	5.0
2DQ7	11314340	5.0
6BXI	44259	7.25104
3KUL	6450551	5.0
4H1J	24180719	5.0
3OMV	6450551	5.0
6DBK	5494449	5.18045
4YJT	153999	5.0
4OTH	156422	5.0
4JG8	151194	5.0
4FR4	25243800	6.16109
6BXI	6918454	5.0
4CRS	156414	5.0
1QPC	126565	6.36643
3E7O	11338033	5.0
3PLS	156414	5.0
6GRO	3038522	5.0
5AP1	17755052	5.36652
5UI0	11717001	5.0
4TPT	11485656	5.32789
4BBM	11717001	5.0
2CMW	10427712	5.24412
5NKG	11617559	5.0
5VCZ	11409972	5.0
4GU6	11617559	5.0
1J1B	176870	5.0
4ASZ	176870	5.0
4RFM	11667893	5.0
1UA2	9933475	5.0
2XYN	24889392	5.0
1WAK	9884685	5.0
3ZDU	156414	5.0
6NCG	17755052	5.0
5MJB	3081361	6.53745
4PF4	44259	8.82391
3O0G	123631	5.0
5ORL	3081361	5.0
1WAK	9926791	5.0
5O0Y	11617559	5.0
2X4F	10427712	5.0
4ANB	17755052	5.0
6BFN	6918454	5.0
3PLS	10427712	5.0
6FYR	6450551	5.0
3KUL	11626560	6.55269
5U6C	176155	5.0
5I3R	25243800	5.22184
4B6L	156422	5.0
2WTK	6450551	5.0
2XYN	4908365	5.27572
6X5G	16722836	6.52273
4ITI	10138260	5.92078
3A7I	156422	5.0
4D2W	3062316	5.0
5BYZ	6450551	5.0
3DKC	16722836	5.0
5MJB	11409972	6.74449
2DQ7	16722836	7.41908
6GZD	153999	5.0
3FXZ	42642645	5.0
1WAK	16722836	6.79561
6RA7	10427712	5.0
3PLS	10461815	5.69895
4ITI	24180719	5.29242
6YKY	44259	5.50862
2W99	5494449	5.0
6MOB	16722836	5.45592
6MOB	123631	5.0
3DKC	153999	5.0
6NCG	9933475	5.0
4UY9	176870	5.0
2DQ7	126565	7.0752
6URC	42642645	5.0
4ANB	25243800	7.29158
6CJE	156422	5.79585
4ITI	208908	5.0
6RA7	208908	5.0
6MOB	10427712	5.0
5MJB	11314340	5.0
3FXX	11485656	5.45592
5MJB	3062316	9.25964
6FT8	5291	5.34678
2CMW	11626560	5.0
4B9D	16725726	5.0
3FE3	44259	8.50864
3SOC	4908365	5.0
2I1M	11314340	5.0
3HNG	42642645	8.40894
3MY0	9926791	5.0
2NRU	176870	5.0
2XIK	6450551	5.0
2NRU	6918454	5.0
4WNO	11338033	5.0
4EQU	11667893	5.95857
3MY0	24889392	5.0
1J1B	10461815	5.0
5AP1	156422	5.48147
4AF3	5291	5.0
6YKY	6918454	5.0
2HW6	156414	6.58486
5LVO	9933475	5.0
4AF3	17755052	5.0
6RSU	10138260	6.79561
4GV1	9884685	5.0
4PF4	126565	7.09637
3GC8	644241	7.44249
2XYN	6450551	7.15428
5QIN	16722836	5.95857
2XYN	208908	5.0
2X4F	11338033	5.0
6RA7	153999	5.0
4KS7	11617559	5.0
2QLU	5494449	5.0
2IWI	176155	5.0
5O0Y	11717001	5.0
4WSQ	42642645	5.0
2C47	126565	5.0
5LVO	17755052	5.0
5U6C	44259	8.18709
3BHH	5291	5.0
6PK6	3062316	5.0
2IWI	6450551	5.0
3KN6	44259	6.05056
6FYL	44259	8.08092
2V7O	42642645	5.0
6RA7	6450551	6.74449
3GC8	3038522	5.0
1J1B	5291	5.0
6PK6	16722836	6.40882
3FE3	17755052	5.0
4L3L	3062316	5.0
2IWI	11667893	5.0
2NRU	10427712	5.0
4D2W	208908	5.0
4HOK	44259	7.13608
1J1B	11617559	5.0
4QTB	11617559	5.0
5EFQ	6450551	5.0
2WTK	4908365	5.0
3S3I	11617559	5.0
3RNY	208908	5.0
2X4F	644241	5.0
3W2P	11409972	5.0
6CD6	10427712	5.0
2QLU	123631	5.0
3FE3	10074640	5.0
4UY9	11314340	5.0
4C57	42642645	5.0
6TGU	126565	6.01318
5AP1	16038120	7.30016
1XJD	10138260	5.14266
6GQQ	11338033	5.0
1XJD	5291	5.0
3OMV	11717001	8.17393
6CD6	5291	5.0
6BG2	44259	7.49349
7KAC	6450551	6.48135
6CD6	5494449	5.33723
6YAT	3062316	5.4202
6X5G	5494449	5.0
6CJE	208908	5.0
6FDY	11364421	5.0
6P5M	24889392	5.0
6P5M	156414	5.0
5ORL	10113978	5.14874
2CMW	25243800	5.40892
5BYZ	6918454	5.0
2J0I	156422	5.0
2V7O	24180719	5.0
4I5P	11364421	9.04096
4D2W	11364421	5.0
6CJE	151194	5.0
2NRU	3038522	5.0
1Y57	10113978	5.55283
3S3I	176870	5.0
5V5Y	10461815	5.0
6URC	153999	5.0
5ES1	4908365	5.27572
6YZ4	10427712	5.0
5L6P	10461815	5.0
2A2A	11717001	5.0
6D3K	11409972	5.95857
6D3K	10427712	5.0
6JUU	11617559	5.0
6X5G	10138260	6.45581
3FXX	16722836	5.14874
1Y57	644241	5.72122
4ANB	4908365	6.69875
6FD3	208908	5.0
3RNY	11667893	5.0
3BU3	176870	5.0
5CEQ	11314340	5.0
5U6B	11617559	5.0
2XYN	151194	5.0
5UI0	10074640	5.0
5LWM	44259	7.91721
6FYL	10427712	7.36552
3FXZ	151194	5.0
2W99	176870	5.0
2NRU	9926791	5.0
3O0G	5494449	5.0
4K33	11485656	5.0
4GV1	151194	5.0
4UAK	6450551	5.31875
5U6C	25243800	5.32789
5H0B	5291	5.0
3E7O	176870	5.69895
7B36	9926791	5.0
2YEX	11314340	5.0
6ZR5	24180719	5.0
6D3K	644241	5.0
2RKU	3081361	5.0
4I5P	10074640	5.0
4GU6	10427712	5.0
6BG2	123631	5.0
4FGB	11409972	5.52286
6PK6	42642645	5.0
2I1M	176870	5.0
6DBK	10113978	5.0
6JPJ	11409972	5.85384
5UI0	10427712	5.0
4B9D	644241	5.0
4YJT	9926791	5.0
6B5J	10113978	5.0
4KS7	11626560	5.0
2ZM3	24180719	5.0
4FR4	11667893	5.0
4CRS	5494449	5.30102
5U6B	3038522	5.20065
2R2P	176870	6.14868
2W4O	16725726	6.43168
3KN6	153999	5.0
5QIN	6918454	5.0
2HAK	3062316	5.0
5NG0	5291	5.0
2J51	10427712	5.0
4BBM	10138260	5.40892
2J51	176870	7.58336
5HVK	17755052	5.0
3A7I	153999	5.0
3HNG	25243800	5.92078
3E7O	10138260	5.48147
5LWM	208908	5.0
3DAK	3062316	5.0
1XJD	644241	5.0
6TCA	156414	5.0
4ANB	16038120	6.25956
5O0Y	208908	5.0
3DKC	25243800	5.0
2VD5	24180719	5.0
6FEK	9926791	5.0
3BHH	151194	5.0
3C0I	126565	6.48135
6Y0A	11409972	8.82391
5J5T	644241	5.0
3WAR	44259	6.02683
5BYZ	176870	5.0
4UXL	156414	5.0
2I1M	17755052	5.0
6CJE	3062316	5.0
4RFM	11626560	5.69895
5U6C	10461815	5.88602
5V5Y	16722836	6.40882
3RNY	11617559	5.0
4WSQ	156422	5.0
3G2F	11485656	5.1079
6OP9	9926791	5.0
4ITI	3038522	5.0
4FGB	156414	5.0
7B36	11485656	5.08092
1Y57	156422	5.0
5NKG	3062316	9.02228
2I1M	11667893	8.24413
2EVA	11617559	5.0
5E8X	10461815	5.0
3DAK	10113978	5.0
6FYL	11338033	5.76953
3HNG	11717001	5.0
1Y57	16038120	6.55269
4HOK	3062316	5.82388
6YAT	16722836	5.0
3TXO	6918454	5.0
5LXC	644241	5.0
4WB8	3081361	5.0
3E7O	16725726	5.0
5UI0	25243800	6.67757
4UY9	644241	5.0
2I1M	24180719	5.56862
3FXX	10074640	5.60204
5V5Y	10074640	5.0
4ZHX	3038522	5.0
4UXL	176155	5.0
6CJE	156414	5.7447
3SOC	24180719	5.0
5VDK	10138260	5.0
4L3L	10138260	6.82362
2W99	156422	5.0
3V8S	11314340	7.43063
2R4B	10138260	5.0
3ZFM	3062316	9.3098
6GR8	25243800	5.0
5I3R	10074640	5.0
6GRO	3081361	5.0
6TGU	4908365	5.2076
4OR5	6450551	5.0
6GZD	3081361	5.0
5LWM	24889392	5.0
2XIK	10461815	5.0
6ZR5	16038120	6.79561
6TGU	176870	5.0
4WNO	25243800	5.0
5VIL	11667893	5.0
5YKS	11485656	5.0
5VDK	11314340	5.0
6SM8	11717001	5.0
