compound_id	PDB_ID	label
9915743	2W99	5.0
6918454	3BHH	5.0
24779724	3ZFM	5.0
51004351	6P5M	5.63825
176155	3WAR	5.0
11338033	1J1B	7.95468
5329102	5ORL	5.76953
24180719	4UAK	5.0
24779724	6GQQ	5.0
9884685	5VDK	5.0
5494449	5NKG	6.07567
5494449	3S3I	5.0
16722836	3QRJ	5.67776
5329102	3O0G	5.16114
11617559	3BU3	5.0
644241	3LCS	5.0
9926791	6RSU	5.0
9933475	4B6L	5.0
10184653	3FXX	5.0
10427712	4JG8	5.0
11656518	2DQ7	5.67776
11364421	6SM8	5.0
9929127	3IEC	5.0
5328940	6FDY	6.33715
24779724	1XJD	5.0
9915743	4OR5	5.0
10074640	2W4O	5.0
3038522	3FXZ	5.0
11409972	5U6B	6.24405
644241	6JQR	5.0
11314340	1XJD	7.91721
42642645	6QAV	5.0
11364421	6ZR5	5.0
16722836	5QIN	5.95857
11617559	5LWM	5.0
9809715	3FE3	6.11345
216239	2C47	5.0
10461815	3MY0	5.0
11485656	2CMW	5.0
11314340	6S73	5.0
11667893	4YHJ	5.0
11617559	3MDY	5.0
9884685	4D2W	5.0
9915743	5V5Y	5.38721
44259	4WSQ	8.88606
9929127	3PLS	5.0
123631	3PLS	5.0
10113978	3QRJ	5.0
208908	2WEL	5.0
11626560	4EQU	7.35556
10184653	7KAC	5.0
126565	4OTH	8.26761
176155	5QIN	5.7447
123631	2XIK	5.0
6450551	3CBL	5.0
447077	5BYZ	5.0
3081361	6URC	5.0
9884685	3BHH	5.0
123631	2YEX	5.0
4908365	4L3L	5.0
11427553	5VCZ	5.0
10427712	6BFN	5.0
5328940	5AP1	5.0
5328940	2C47	5.0
10074640	3SXS	5.0
9884685	3LCS	5.0
9884685	6PK6	5.0
126565	3C0I	6.48135
3062316	5L6P	8.1549
10127622	6BG2	5.0
11364421	3C0I	5.0
10138260	4BBM	5.40892
3038525	3FXZ	5.0
24889392	3E7O	5.0
10074640	3MDY	5.0
176870	3ZDU	5.0
51004351	4IVA	7.02641
9926791	2REI	5.0
16007391	5VCZ	5.0
11712649	2OO8	6.52273
11364421	2HW6	5.0
16007391	6N3O	5.0
16725726	6BFN	5.0
25243800	5E8X	6.99957
153999	6NCG	5.0
16038120	3IEC	7.35556
3025986	4UXL	5.0
9915743	4WNO	5.0
